"turn","mode","anchor","batch_htsn_combined","batch_new_nodes","batch_new_edges","raw_batch_reward","effective_fewa_reward","evaluation_node_precision","evaluation_node_recall","evaluation_edge_pair_precision","evaluation_edge_pair_recall","evaluation_node_tsc_rank","evaluation_edge_tsc_rank"
76,"exploit","CURE",0.0,5,3,0.0,0.0,0.819773429454171,0.6757215619694398,0.9792387543252595,0.4645436638214051,0.7550894504993143,0.46566831254793967
77,"exploit","FDG PET-CT",0.29925334031962264,52,32,0.06429270983429393,0.06429270983429393,0.7908113391984359,0.6867572156196944,0.97968855788761,0.47504924491135914,0.7677819712585254,0.4760540909616734
78,"exploit","LARYNGEAL CANCER",0.076517388945814,12,5,0.007024057188385269,0.007024057188385269,0.7855072463768116,0.6901528013582343,0.979757085020243,0.4766907419566645,0.7705503597868211,0.47758541067723936
79,"exploit","SKIN CANCER",0.15952277184571798,5,14,0.020251914394475917,0.020251914394475917,0.7865384615384615,0.6943972835314092,0.9799465240641712,0.4812869336835194,0.773749781520967,0.48212748137433614
80,"exploit","FATIGUE",0.0,0,0,0.0,0.0,0.7865384615384615,0.6943972835314092,0.9799465240641712,0.4812869336835194,0.773749781520967,0.48212748137433614
81,"exploit","ALKALINE PHOSPHATASE TEST",0.1403742931771865,2,16,0.026868517053445853,0.026868517053445853,0.7869481765834933,0.6960950764006791,0.9801587301587301,0.4865397242284964,0.7748895755137565,0.48751228153818155
82,"exploit","ESOPHAGOSCOPY",0.07530388031790557,2,10,0.017649346949509117,0.017649346949509117,0.7873563218390804,0.6977928692699491,0.9802890932982917,0.489822718319107,0.7753902257665997,0.49086458060855426
83,"exploit","PANENDOSCOPY",0.0,0,0,0.0,0.0,0.7873563218390804,0.6977928692699491,0.9802890932982917,0.489822718319107,0.7753902257665997,0.49086458060855426
84,"exploit","BLUE LIGHT CYSTOSCOPY",0.14501305296284375,3,16,0.022091832287308228,0.022091832287308228,0.7879656160458453,0.700339558573854,0.9804941482444733,0.495075508864084,0.7794406048092023,0.49598185003078255
85,"exploit","LOCAL THERAPIES",0.12037037037037038,6,11,0.011990017361111112,0.011990017361111112,0.7891737891737892,0.7054329371816639,0.9806326662362814,0.49868680236375573,0.7856380032053442,0.4995127064130159
86,"exploit","NEUROLOGICAL EXAM",0.06003315649867373,2,7,0.012194234913793102,0.012194234913793102,0.7895734597156399,0.7071307300509337,0.980719794344473,0.5009848982271832,0.7867015146891945,0.5018650845369678
87,"exploit","OPEN MRI",0.13652758673391407,1,15,0.023998989855570835,0.023998989855570835,0.7897727272727273,0.7079796264855688,0.9809038828771484,0.5059093893630991,0.7869518398156161,0.5067741897084453
88,"exploit","RET MUTATIONS",0.0,0,0,0.0,0.0,0.7897727272727273,0.7079796264855688,0.9809038828771484,0.5059093893630991,0.7869518398156161,0.5067741897084453
89,"exploit","TRANSABDOMINAL ULTRASOUND",0.24759945130315492,7,31,0.05464597265089161,0.05464597265089161,0.7911571025399812,0.7139219015280136,0.9812734082397003,0.5160866710439921,0.7922538444903267,0.5172538251707212
90,"exploit","ABDOMINAL SURGERY",0.0,0,0,0.0,0.0,0.7911571025399812,0.7139219015280136,0.9812734082397003,0.5160866710439921,0.7922538444903267,0.5172538251707212
91,"exploit","CYSTOSCOPY AND IMAGING",0.0,0,0,0.0,0.0,0.7911571025399812,0.7139219015280136,0.9812734082397003,0.5160866710439921,0.7922538444903267,0.5172538251707212
92,"exploit","FIBEROPTIC LARYNGOSCOPY",0.054457199546485265,2,6,0.010210724914965988,0.010210724914965988,0.7915492957746478,0.7156196943972836,0.9813432835820896,0.5180564674983585,0.7934913985916595,0.5192115458515342
93,"exploit","ENDOCRINE THERAPY",0.23661246612466122,4,11,0.023106686144986448,0.023106686144986448,0.7923292797006548,0.7190152801358234,0.9814700432365658,0.5216677609980302,0.7971929517924145,0.5228477052638395
94,"explore",,0.008725253276326797,1,1,0.00197681519541779,,0.7925233644859813,0.7198641765704584,0.9814814814814815,0.5219960604070912,0.797443276918836,0.5231529314379606
95,"exploit","ENDOCRINE THERAPY",0.008216745648461268,0,1,0.001909751430013459,0.001909751430013459,0.7925233644859813,0.7198641765704584,0.9814929056138186,0.5223243598161523,0.797443276918836,0.5235056202821575
96,"exploit","PSA TEST",0.051835146047797466,0,2,0.0037458992261103635,0.0037458992261103635,0.7925233644859813,0.7198641765704584,0.9802834257547751,0.5223243598161523,0.797443276918836,0.5235056202821575
97,"exploit","RADIATION THERAPY",0.31047106325706597,0,8,0.015159719885598924,0.015159719885598924,0.7925233644859813,0.7198641765704584,0.9791538933169834,0.5242941562705187,0.797443276918836,0.5256196167641207
98,"exploit","CHRONIC HEPATITIS",0.0,0,0,0.0,0.0,0.7925233644859813,0.7198641765704584,0.9791538933169834,0.5242941562705187,0.797443276918836,0.5256196167641207
99,"exploit","PET/CT SCAN",0.20990217641072778,2,19,0.03361714544078062,0.03361714544078062,0.792910447761194,0.7215619694397284,0.9787878787878788,0.5302035456336178,0.7997250867250636,0.5317253611512405
100,"exploit","PET-CT",0.12205722184986596,1,19,0.03051430546246649,0.03051430546246649,0.7931034482758621,0.7224108658743633,0.975434391851408,0.5344714379514117,0.7999754118514852,0.5360082948265085
